Lat,Long_,Active,Combined_Key
26.0444,-111.6661,779.0,"Baja California Sur, Mexico"
19.8301,-90.5349,53.0,"Campeche, Mexico"
16.7569,-93.1292,118.0,"Chiapas, Mexico"
28.63300000000001,-106.0691,2297.0,"Chihuahua, Mexico"
19.4326,-99.1332,8105.0,"Ciudad de Mexico, Mexico"
27.0587,-101.7068,2207.0,"Coahuila, Mexico"
19.1223,-104.0072,454.0,"Colima, Mexico"
24.5593,-104.6588,1388.0,"Durango, Mexico"
21.019000000000002,-101.2574,1885.0,"Guanajuato, Mexico"
17.4392,-99.5451,853.0,"Guerrero, Mexico"
20.0911,-98.7624,656.0,"Hidalgo, Mexico"
20.6595,-103.3494,2231.0,"Jalisco, Mexico"
19.4969,-99.7233,2780.0,"Mexico, Mexico"
19.5665,-101.7068,921.0,"Michoacan, Mexico"
18.6813,-99.1013,312.0,"Morelos, Mexico"
21.7514,-104.8455,339.0,"Nayarit, Mexico"
25.5922,-99.9962,4186.0,"Nuevo Leon, Mexico"
17.0732,-96.7266,1068.0,"Oaxaca, Mexico"
19.0414,-98.2063,802.0,"Puebla, Mexico"
20.5888,-100.3899,1185.0,"Queretaro, Mexico"
19.1817,-88.4791,367.0,"Quintana Roo, Mexico"
22.1565,-100.9855,1224.0,"San Luis Potosi, Mexico"
25.1721,-107.4795,742.0,"Sinaloa, Mexico"
29.2972,-110.3309,801.0,"Sonora, Mexico"
17.8409,-92.6189,742.0,"Tabasco, Mexico"
24.2669,-98.8363,773.0,"Tamaulipas, Mexico"
19.3139,-98.2404,203.0,"Tlaxcala, Mexico"
19.1738,-96.1342,1084.0,"Veracruz, Mexico"
20.7099,-89.0943,950.0,"Yucatan, Mexico"
22.7709,-102.5832,1009.0,"Zacatecas, Mexico"
47.4116,28.3699,17536.0,Moldova
43.7333,7.4167,34.0,Monaco
46.8625,103.8467,9.0,Mongolia
42.708678000000006,19.37439,4096.0,Montenegro
31.7917,-7.0926,24842.0,Morocco
-18.665695,35.529562,2250.0,Mozambique
-22.9576,18.4904,1644.0,Namibia
28.1667,84.25,36533.0,Nepal
12.5211,-69.9683,343.0,"Aruba, Netherlands"
12.1784,-68.2385,37.0,"Bonaire, Sint Eustatius and Saba, Netherlands"
12.1696,-68.99,301.0,"Curacao, Netherlands"
52.862485,6.6184350000000025,2769.0,"Drenthe, Netherlands"
52.550383,5.515162,3525.0,"Flevoland, Netherlands"
53.087337,5.7925,3435.0,"Friesland, Netherlands"
52.061738,5.939114,18799.0,"Gelderland, Netherlands"
53.217921999999994,6.741514,3802.0,"Groningen, Netherlands"
51.209227,5.93387,8657.0,"Limburg, Netherlands"
51.561174,5.1849419999999995,27951.0,"Noord-Brabant, Netherlands"
52.60090600000001,4.9186879999999995,39582.0,"Noord-Holland, Netherlands"
52.444557999999994,6.441722,8967.0,"Overijssel, Netherlands"
18.0425,-63.0548,58.0,"Sint Maarten, Netherlands"
52.084251,5.163824,16878.0,"Utrecht, Netherlands"
51.47936,3.8615589999999997,1992.0,"Zeeland, Netherlands"
51.937835,4.462114,59301.0,"Zuid-Holland, Netherlands"
-40.9006,174.886,46.0,New Zealand
12.865416,-85.207229,974.0,Nicaragua
17.607789,8.081666,14.0,Niger
9.082,8.6753,7672.0,Nigeria
41.6086,21.7453,4597.0,North Macedonia
60.472,8.4689,3996.0,Norway
21.512583,55.92325500000001,12996.0,Oman
34.027401,73.947253,652.0,"Azad Jammu and Kashmir, Pakistan"
28.328491999999997,65.898403,185.0,"Balochistan, Pakistan"
35.792146,74.982138,249.0,"Gilgit-Baltistan, Pakistan"
33.665087,73.121219,1038.0,"Islamabad, Pakistan"
34.485332,72.09169,440.0,"Khyber Pakhtunkhwa, Pakistan"
30.811346,72.13913199999998,2020.0,"Punjab, Pakistan"
26.009446,68.77680699999999,4837.0,"Sindh, Pakistan"
8.538,-80.7821,21683.0,Panama
-6.314993,143.95555,34.0,Papua New Guinea
-23.4425,-58.4438,17019.0,Paraguay
-5.077253,-78.050172,15544.0,"Amazonas, Peru"
-9.407125,-77.67179499999997,23113.0,"Ancash, Peru"
-14.027713,-72.975378,5140.0,"Apurimac, Peru"
-15.843523999999999,-72.475539,41866.0,"Arequipa, Peru"
-14.091648000000001,-74.08344,12133.0,"Ayacucho, Peru"
-6.4302839999999994,-78.74559599999998,20571.0,"Cajamarca, Peru"
-11.954609,-77.136042,33319.0,"Callao, Peru"
-13.191068,-72.153609,20979.0,"Cusco, Peru"
-13.023888000000001,-75.00277,6893.0,"Huancavelica, Peru"
-9.421676,-76.040642,16223.0,"Huanuco, Peru"
-14.235097,-75.574821,27177.0,"Ica, Peru"
-11.541783,-74.876968,20497.0,"Junin, Peru"
-7.92139,-78.370238,28631.0,"La Libertad, Peru"
-6.3530489999999995,-79.824113,25538.0,"Lambayeque, Peru"
-11.766533,-76.60449799999998,375397.0,"Lima, Peru"
-4.124847,-74.424115,19693.0,"Loreto, Peru"
-11.972699,-70.53171999999998,8420.0,"Madre de Dios, Peru"
-16.860271,-70.839046,13489.0,"Moquegua, Peru"
-10.39655,-75.307635,5301.0,"Pasco, Peru"
-5.133361,-80.335861,35101.0,"Piura, Peru"
-14.995826999999998,-69.922726,15854.0,"Puno, Peru"
-7.039531,-76.729127,18859.0,"San Martin, Peru"
-17.644160999999997,-70.27756,12355.0,"Tacna, Peru"
-3.857496,-80.54525500000003,7405.0,"Tumbes, Peru"
-9.621718,-73.444929,16665.0,"Ucayali, Peru"
12.879721,121.77401699999999,48040.0,Philippines
51.9194,19.1451,61007.0,Poland
39.3999,-8.2245,36085.0,Portugal
